Dispositivo;Latitud;Longitud;Fecha;Bateria
GPS_6;36.8922600000;-5.0215100000;02-08-2022 11:18:03;LOW;
GPS_6;36.8923800000;-5.0214200000;02-08-2022 11:57:59;LOW;
GPS_6;36.8923800000;-5.0214200000;02-08-2022 11:47:59;LOW;
GPS_6;36.8919500000;-5.0215900000;02-08-2022 11:37:59;LOW;
GPS_6;36.8923000000;-5.0213900000;02-08-2022 12:08:03;LOW;
GPS_6;36.8922500000;-5.0214200000;02-08-2022 13:46:16;LOW;
GPS_6;36.8922500000;-5.0214200000;02-08-2022 13:36:16;LOW;
GPS_6;36.8913800000;-5.0214200000;02-08-2022 16:07:51;LOW;
GPS_6;36.8915100000;-5.0212500000;02-08-2022 15:57:51;LOW;
GPS_6;36.8914300000;-5.0213300000;02-08-2022 17:08:53;LOW;
GPS_6;36.8912100000;-5.0214100000;02-08-2022 16:48:53;LOW;
GPS_6;36.8914700000;-5.0210700000;02-08-2022 16:58:53;LOW;
GPS_6;36.8922400000;-5.0213000000;02-08-2022 18:06:08;LOW;
GPS_6;36.8919400000;-5.0213900000;02-08-2022 17:56:08;LOW;
GPS_6;36.8919300000;-5.0213000000;02-08-2022 18:25:30;LOW;
GPS_6;36.8919500000;-5.0215800000;02-08-2022 18:45:22;LOW;
GPS_6;36.8919500000;-5.0215800000;02-08-2022 18:35:22;LOW;
GPS_6;36.8919400000;-5.0215800000;02-08-2022 18:55:23;LOW;
GPS_6;36.8918100000;-5.0217300000;02-08-2022 20:25:42;LOW;
GPS_6;36.8919100000;-5.0217600000;02-08-2022 20:45:38;LOW;
GPS_6;36.8919100000;-5.0217600000;02-08-2022 20:35:38;LOW;
GPS_6;36.8918300000;-5.0218800000;02-08-2022 21:16:00;LOW;
GPS_6;36.8918300000;-5.0218800000;02-08-2022 21:06:00;LOW;
GPS_6;36.8918700000;-5.0217900000;02-08-2022 20:56:00;LOW;
GPS_6;36.8918000000;-5.0218500000;02-08-2022 21:35:39;LOW;
GPS_6;36.8917600000;-5.0219400000;02-08-2022 21:25:39;LOW;
GPS_6;36.8920100000;-5.0217900000;02-08-2022 21:45:36;LOW;
GPS_6;36.8916500000;-5.0227100000;02-08-2022 22:05:35;LOW;
GPS_6;36.8903700000;-5.0236200000;02-08-2022 22:25:34;LOW;
GPS_6;36.8910100000;-5.0227600000;02-08-2022 22:15:34;LOW;
GPS_6;36.8898000000;-5.0235900000;02-08-2022 22:45:30;LOW;
GPS_6;36.8894300000;-5.0237400000;02-08-2022 22:55:30;LOW;
GPS_6;36.8893000000;-5.0244200000;02-08-2022 22:35:30;LOW;
GPS_6;36.8893200000;-5.0230400000;02-08-2022 23:16:34;LOW;
GPS_6;36.8895600000;-5.0231300000;02-08-2022 23:25:28;LOW;
GPS_6;36.8891400000;-5.0232100000;02-08-2022 23:05:28;LOW;
GPS_6;36.8895700000;-5.0231900000;02-08-2022 23:35:26;LOW;
GPS_6;36.8897200000;-5.0227400000;03-08-2022 00:05:32;LOW;
GPS_6;36.8894600000;-5.0230000000;02-08-2022 23:55:32;LOW;
GPS_6;36.8894600000;-5.0230900000;02-08-2022 23:45:32;LOW;
GPS_6;36.8896600000;-5.0227700000;03-08-2022 00:16:10;LOW;
GPS_6;36.8888900000;-5.0211800000;03-08-2022 00:35:28;LOW;
GPS_6;36.8886800000;-5.0214400000;03-08-2022 00:25:28;LOW;
GPS_6;36.8894800000;-5.0212400000;03-08-2022 02:05:20;LOW;
GPS_6;36.8900400000;-5.0215800000;03-08-2022 01:45:20;LOW;
GPS_6;36.8896500000;-5.0214100000;03-08-2022 01:55:20;LOW;
GPS_6;36.8901600000;-5.0215800000;03-08-2022 02:15:59;LOW;
GPS_6;36.8905900000;-5.0211500000;03-08-2022 02:25:18;LOW;
GPS_6;36.8898700000;-5.0206600000;03-08-2022 02:45:15;LOW;
GPS_6;36.8903000000;-5.0204900000;03-08-2022 02:35:15;LOW;
GPS_6;36.8897200000;-5.0210600000;03-08-2022 02:55:17;LOW;
GPS_6;36.8901100000;-5.0213300000;03-08-2022 03:57:53;LOW;
GPS_6;36.8899100000;-5.0216700000;03-08-2022 04:07:44;LOW;
GPS_6;36.8900800000;-5.0213200000;03-08-2022 03:47:44;LOW;
GPS_6;36.8900300000;-5.0217000000;03-08-2022 04:17:47;LOW;
